T,M,LW,LW_t,LW_h,T_k
49.49494949,1.378787879,5.86,9.316711907,9.316711907,322.4949495
49.49494949,1.444444444,6.16,9.616711907,9.616711907,322.4949495
49.49494949,1.51010101,6.45,9.906711907,9.906711907,322.4949495
49.49494949,1.575757576,6.74,10.19671191,10.19671191,322.4949495
49.49494949,1.641414141,7.03,10.48671191,10.48671191,322.4949495
49.49494949,1.707070707,7.3,10.75671191,10.75671191,322.4949495
49.49494949,1.772727273,7.56,11.01671191,11.01671191,322.4949495
49.49494949,1.838383838,7.81,11.26671191,11.26671191,322.4949495
49.49494949,1.904040404,8.03,11.48671191,11.48671191,322.4949495
49.49494949,1.96969697,8.24,11.69671191,11.69671191,322.4949495
49.49494949,2.035353535,8.42,11.87671191,11.87671191,322.4949495
49.49494949,2.101010101,8.56,12.01671191,12.01671191,322.4949495
49.49494949,2.166666667,8.68,12.13671191,12.13671191,322.4949495
49.49494949,2.232323232,8.75,12.20671191,12.20671191,322.4949495
49.49494949,2.297979798,8.77,12.22671191,12.22671191,322.4949495
49.49494949,2.363636364,8.73,12.18671191,12.18671191,322.4949495
49.49494949,2.429292929,8.64,12.09671191,12.09671191,322.4949495
49.49494949,2.494949495,8.47,11.92671191,11.92671191,322.4949495
49.49494949,2.560606061,8.22,11.67671191,11.67671191,322.4949495
49.49494949,2.626262626,7.87,11.32671191,11.32671191,322.4949495
49.49494949,2.691919192,7.42,10.87671191,10.87671191,322.4949495
49.49494949,2.757575758,6.85,10.30671191,10.30671191,322.4949495
49.49494949,2.823232323,6.14,9.596711907,9.596711907,322.4949495
49.49494949,2.888888889,5.27,8.726711907,8.726711907,322.4949495
49.49494949,2.954545455,4.24,7.696711907,7.696711907,322.4949495
49.49494949,3.02020202,3,6.456711907,6.456711907,322.4949495
49.49494949,3.085858586,1.55,5.006711907,5.006711907,322.4949495
49.49494949,3.151515152,-0.16,3.296711907,3.296711907,322.4949495
49.49494949,3.217171717,-2.14,1.316711907,1.316711907,322.4949495
49.49494949,3.282828283,-4.45,-0.993288093,-0.993288093,322.4949495
49.49494949,3.348484848,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.414141414,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.47979798,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.545454545,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.611111111,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.676767677,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.742424242,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.808080808,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.873737374,NaN,NaN,#VALUE!,322.4949495
49.49494949,3.939393939,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.005050505,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.070707071,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.136363636,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.202020202,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.267676768,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.333333333,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.398989899,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.464646465,NaN,NaN,#VALUE!,322.4949495
49.49494949,4.53030303,NaN,NaN,#VALUE!,322.4949495
