T,T_k,M,LW,LW_h,LW_t
49.49494949,322.6449495,0,0.00,3.502999177,3.503000702
49.49494949,322.6449495,0.065656566,0.23,3.502999177,3.729645852
49.49494949,322.6449495,0.131313131,0.47,3.502999177,3.972033348
49.49494949,322.6449495,0.196969697,0.73,3.502999177,4.237200313
49.49494949,322.6449495,0.262626263,1.02,3.502999177,4.522551683
49.49494949,322.6449495,0.328282828,1.32,3.502999177,4.825362673
49.49494949,322.6449495,0.393939394,1.64,3.502999177,5.1431994
49.49494949,322.6449495,0.45959596,1.97,3.502999177,5.47390391
49.49494949,322.6449495,0.525252525,2.31,3.502999177,5.815561749
49.49494949,322.6449495,0.590909091,2.66,3.502999177,6.166473001
49.49494949,322.6449495,0.656565657,3.02,3.502999177,6.525095413
49.49494949,322.6449495,0.722222222,3.38,3.502999177,6.878577052
49.49494949,322.6449495,0.787878788,3.76,3.502999177,7.259970322
49.49494949,322.6449495,0.853535354,4.13,3.502999177,7.633741233
49.49494949,322.6449495,0.919191919,4.51,3.502999177,8.010216174
49.49494949,322.6449495,0.984848485,4.89,3.502999177,8.388347207
49.49494949,322.6449495,1.050505051,5.26,3.502999177,8.766478239
49.49494949,322.6449495,1.116161616,5.64,3.502999177,9.145600472
49.49494949,322.6449495,1.181818182,6.02,3.502999177,9.524722704
49.49494949,322.6449495,1.247474747,6.40,3.502999177,9.903844937
49.49494949,322.6449495,1.313131313,6.78,3.502999177,10.28296717
49.49494949,322.6449495,1.378787879,7.16,3.502999177,10.6620894
49.49494949,322.6449495,1.444444444,7.54,3.502999177,11.04121163
49.49494949,322.6449495,1.51010101,7.92,3.502999177,11.42033387
49.49494949,322.6449495,1.575757576,8.30,3.502999177,11.7994561
49.49494949,322.6449495,1.641414141,8.55,3.502999177,12.05355096
49.49494949,322.6449495,1.707070707,8.89,3.502999177,12.38847601
49.49494949,322.6449495,1.772727273,9.21,3.502999177,12.71386585
49.49494949,322.6449495,1.838383838,9.53,3.502999177,13.02864237
49.49494949,322.6449495,1.904040404,9.83,3.502999177,13.33168969
49.49494949,322.6449495,1.96969697,10.12,3.502999177,13.62179906
49.49494949,322.6449495,2.035353535,10.39,3.502999177,13.89768746
49.49494949,322.6449495,2.101010101,10.65,3.502999177,14.15796643
49.49494949,322.6449495,2.166666667,10.90,3.502999177,14.40114359
49.49494949,322.6449495,2.232323232,11.12,3.502999177,14.62558626
49.49494949,322.6449495,2.297979798,11.33,3.502999177,14.82951985
49.49494949,322.6449495,2.363636364,11.51,3.502999177,15.0109962
49.49494949,322.6449495,2.429292929,11.66,3.502999177,15.16787032
49.49494949,322.6449495,2.494949495,11.79,3.502999177,15.2977841
49.49494949,322.6449495,2.560606061,11.90,3.502999177,15.39811418
49.49494949,322.6449495,2.626262626,11.96,3.502999177,15.46595638
49.49494949,322.6449495,2.691919192,12.00,3.502999177,15.49807248
49.49494949,322.6449495,2.757575758,11.99,3.502999177,15.49084364
49.49494949,322.6449495,2.823232323,11.94,3.502999177,15.44021297
49.49494949,322.6449495,2.888888889,11.84,3.502999177,15.34162817
49.49494949,322.6449495,2.954545455,11.69,3.502999177,15.18995205
49.49494949,322.6449495,3.02020202,11.48,3.502999177,14.97938252
49.49494949,322.6449495,3.085858586,11.20,3.502999177,14.70334142
49.49494949,322.6449495,3.151515152,10.85,3.502999177,14.35435228
49.49494949,322.6449495,3.217171717,10.42,3.502999177,13.92387927
49.49494949,322.6449495,3.282828283,9.90,3.502999177,13.40217932
49.49494949,322.6449495,3.348484848,9.28,3.502999177,12.77802641
49.49494949,322.6449495,3.414141414,8.54,3.502999177,12.0385202
49.49494949,322.6449495,3.47979798,7.67,3.502999177,11.16873879
49.49494949,322.6449495,3.545454545,6.65,3.502999177,10.15134025
49.49494949,322.6449495,3.611111111,5.46,3.502999177,8.966111766
49.49494949,322.6449495,3.676767677,4.09,3.502999177,7.58938376
49.49494949,322.6449495,3.742424242,2.49,3.502999177,5.993290693
49.49494949,322.6449495,3.808080808,0.64,3.502999177,4.144868098
49.49494949,322.6449495,3.873737374,-1.50,3.502999177,2.004893018
49.49494949,322.6449495,3.939393939,-3.98,3.502999177,-0.47359395
49.49494949,322.6449495,4.005050505,-6.85,3.502999177,-3.347196215
49.49494949,322.6449495,4.070707071,-10.19,3.502999177,-6.68464811
49.49494949,322.6449495,4.136363636,-14.07,3.502999177,-10.57012499
49.49494949,322.6449495,4.202020202,-18.61,3.502999177,-15.10767874
49.49494949,322.6449495,4.267676768,-23.93,3.502999177,-20.42730862
49.49494949,322.6449495,4.333333333,-30.20,3.502999177,-26.69344907
49.49494949,322.6449495,4.398989899,-37.62,3.502999177,-34.11713614
49.49494949,322.6449495,4.464646465,-46.48,3.502999177,-42.97390624
49.49494949,322.6449495,4.53030303,-57.13,3.502999177,-53.63122499
49.49494949,322.6449495,4.595959596,NaN,3.502999177,NaN
49.49494949,322.6449495,4.661616162,-86.07,3.502999177,-82.56978566
49.49494949,322.6449495,4.727272727,NaN,3.502999177,NaN
49.49494949,322.6449495,4.792929293,NaN,3.502999177,NaN
49.49494949,322.6449495,4.858585859,NaN,3.502999177,NaN
49.49494949,322.6449495,4.924242424,NaN,3.502999177,NaN
49.49494949,322.6449495,4.98989899,NaN,3.502999177,NaN
49.49494949,322.6449495,5.055555556,NaN,3.502999177,NaN
49.49494949,322.6449495,5.121212121,NaN,3.502999177,NaN
49.49494949,322.6449495,5.186868687,NaN,3.502999177,NaN
49.49494949,322.6449495,5.252525253,NaN,3.502999177,NaN
49.49494949,322.6449495,5.318181818,NaN,3.502999177,NaN
49.49494949,322.6449495,5.383838384,NaN,3.502999177,NaN
49.49494949,322.6449495,5.449494949,NaN,3.502999177,NaN
49.49494949,322.6449495,5.515151515,NaN,3.502999177,NaN
49.49494949,322.6449495,5.580808081,NaN,3.502999177,NaN
49.49494949,322.6449495,5.646464646,NaN,3.502999177,NaN
49.49494949,322.6449495,5.712121212,NaN,3.502999177,NaN
49.49494949,322.6449495,5.777777778,NaN,3.502999177,NaN
49.49494949,322.6449495,5.843434343,NaN,3.502999177,NaN
49.49494949,322.6449495,5.909090909,NaN,3.502999177,NaN
49.49494949,322.6449495,5.974747475,NaN,3.502999177,NaN
49.49494949,322.6449495,6.04040404,NaN,3.502999177,NaN
49.49494949,322.6449495,6.106060606,NaN,3.502999177,NaN
49.49494949,322.6449495,6.171717172,NaN,3.502999177,NaN
49.49494949,322.6449495,6.237373737,NaN,3.502999177,NaN
49.49494949,322.6449495,6.303030303,NaN,3.502999177,NaN
49.49494949,322.6449495,6.368686869,NaN,3.502999177,NaN
49.49494949,322.6449495,6.434343434,NaN,3.502999177,NaN
49.49494949,322.6449495,6.5,NaN,3.502999177,NaN
48.98989899,322.139899,0,0.00,3.348320563,3.348320563
