T,M,LW,LW_t,LW_h,T_k
49.49494949,1.51010101,7.71,11.16671191,11.16671191,322.4949495
49.49494949,1.575757576,8.04,11.49671191,11.49671191,322.4949495
49.49494949,1.641414141,8.36,11.81671191,11.81671191,322.4949495
49.49494949,1.707070707,8.68,12.13671191,12.13671191,322.4949495
49.49494949,1.772727273,8.99,12.44671191,12.44671191,322.4949495
49.49494949,1.838383838,9.3,12.75671191,12.75671191,322.4949495
49.49494949,1.904040404,9.61,13.06671191,13.06671191,322.4949495
49.49494949,1.96969697,9.92,13.37671191,13.37671191,322.4949495
49.49494949,2.035353535,10.22,13.67671191,13.67671191,322.4949495
49.49494949,2.101010101,10.52,13.97671191,13.97671191,322.4949495
49.49494949,2.166666667,10.81,14.26671191,14.26671191,322.4949495
49.49494949,2.232323232,11.1,14.55671191,14.55671191,322.4949495
49.49494949,2.297979798,11.39,14.84671191,14.84671191,322.4949495
49.49494949,2.363636364,11.67,15.12671191,15.12671191,322.4949495
49.49494949,2.429292929,11.95,15.40671191,15.40671191,322.4949495
49.49494949,2.494949495,12.22,15.67671191,15.67671191,322.4949495
49.49494949,2.560606061,12.49,15.94671191,15.94671191,322.4949495
49.49494949,2.626262626,12.75,16.20671191,16.20671191,322.4949495
49.49494949,2.691919192,13.01,16.46671191,16.46671191,322.4949495
49.49494949,2.757575758,13.26,16.71671191,16.71671191,322.4949495
49.49494949,2.823232323,13.51,16.96671191,16.96671191,322.4949495
49.49494949,2.888888889,13.75,17.20671191,17.20671191,322.4949495
49.49494949,2.954545455,13.98,17.43671191,17.43671191,322.4949495
49.49494949,3.02020202,14.21,17.66671191,17.66671191,322.4949495
49.49494949,3.085858586,14.43,17.88671191,17.88671191,322.4949495
49.49494949,3.151515152,14.64,18.09671191,18.09671191,322.4949495
49.49494949,3.217171717,14.85,18.30671191,18.30671191,322.4949495
49.49494949,3.282828283,15.05,18.50671191,18.50671191,322.4949495
49.49494949,3.348484848,15.24,18.69671191,18.69671191,322.4949495
49.49494949,3.414141414,15.42,18.87671191,18.87671191,322.4949495
49.49494949,3.47979798,15.59,19.04671191,19.04671191,322.4949495
49.49494949,3.545454545,15.76,19.21671191,19.21671191,322.4949495
49.49494949,3.611111111,15.91,19.36671191,19.36671191,322.4949495
49.49494949,3.676767677,16.06,19.51671191,19.51671191,322.4949495
49.49494949,3.742424242,16.19,19.64671191,19.64671191,322.4949495
49.49494949,3.808080808,16.31,19.76671191,19.76671191,322.4949495
49.49494949,3.873737374,16.43,19.88671191,19.88671191,322.4949495
49.49494949,3.939393939,16.53,19.98671191,19.98671191,322.4949495
49.49494949,4.005050505,16.62,20.07671191,20.07671191,322.4949495
49.49494949,4.070707071,16.7,20.15671191,20.15671191,322.4949495
49.49494949,4.136363636,16.76,20.21671191,20.21671191,322.4949495
49.49494949,4.202020202,16.81,20.26671191,20.26671191,322.4949495
49.49494949,4.267676768,16.85,20.30671191,20.30671191,322.4949495
49.49494949,4.333333333,16.88,20.33671191,20.33671191,322.4949495
49.49494949,4.398989899,16.89,20.34671191,20.34671191,322.4949495
49.49494949,4.464646465,16.88,20.33671191,20.33671191,322.4949495
49.49494949,4.53030303,16.86,20.31671191,20.31671191,322.4949495
49.49494949,4.595959596,16.82,20.27671191,20.27671191,322.4949495
49.49494949,4.661616162,16.76,20.21671191,20.21671191,322.4949495
49.49494949,4.727272727,16.69,20.14671191,20.14671191,322.4949495
49.49494949,4.792929293,16.6,20.05671191,20.05671191,322.4949495
49.49494949,4.858585859,16.48,19.93671191,19.93671191,322.4949495
49.49494949,4.924242424,16.35,19.80671191,19.80671191,322.4949495
49.49494949,4.98989899,16.2,19.65671191,19.65671191,322.4949495
49.49494949,5.055555556,16.03,19.48671191,19.48671191,322.4949495
49.49494949,5.121212121,15.83,19.28671191,19.28671191,322.4949495
49.49494949,5.186868687,15.61,19.06671191,19.06671191,322.4949495
